Run,non_batched_time (s),batched_time (s),non_physics_time (s)
1,3.412353992462158,2.122040033340454,1.652527093887329
2,3.433584213256836,2.132162094116211,1.6323559284210205
3,3.395528793334961,2.1513023376464844,1.64459228515625
4,3.3897347450256348,2.0981369018554688,1.6373240947723389
5,3.416476249694824,2.0954601764678955,1.6321609020233154
