Run,non_batched_time (s),batched_time (s),non_physics_time (s)
1,6.761336803436279,4.293802976608276,3.2828569412231445
2,6.789670944213867,4.330520868301392,3.261510133743286
3,6.811232089996338,4.2229743003845215,3.271571159362793
4,6.783179044723511,4.21951699256897,3.294058084487915
5,6.779952049255371,4.219031095504761,3.2498488426208496
