Run,non_batched_time (s),batched_time (s),non_physics_time (s)
1,5.152388095855713,3.1640961170196533,2.5066332817077637
2,5.094460964202881,3.148333787918091,2.499131917953491
3,5.1284849643707275,3.157660961151123,2.4938747882843018
4,5.093079090118408,3.150935173034668,2.5632688999176025
5,5.089868068695068,3.1546640396118164,2.579230308532715
