Run,non_batched_time (s),batched_time (s),non_physics_time (s)
1,16.997591972351074,10.717840909957886,8.18904709815979
2,17.04200005531311,10.590429782867432,8.223504304885864
3,17.230443954467773,10.788105964660645,8.181267976760864
4,17.029590129852295,10.79846477508545,8.18908429145813
5,17.012924909591675,10.707483768463135,8.285213947296143
