Run,non_batched_time (s),batched_time (s),non_physics_time (s)
1,8.489205121994019,5.253836154937744,4.071608066558838
2,8.559223175048828,5.2712318897247314,4.082515239715576
3,8.502025127410889,5.252187728881836,4.074902057647705
4,8.490866899490356,5.27151083946228,4.135342836380005
5,8.499422788619995,5.297534942626953,4.1351869106292725
