model_type,epochs,runtime_sec,error_alpha1,error_alpha1.5,error_alpha2
PINN,10,3.9080331325531006,0.01515161423522609,0.3066729076685327,0.9121693877495696
PINN,20,7.877542018890381,0.011030700482090055,0.1712875703116306,0.4009996528245534
PINN,30,11.707517147064209,0.0038930638941800737,0.025789797303886662,0.06465223784284238
PINN,40,15.712107181549072,0.004802455694707392,0.010553418784930865,0.006058715459283303
PINN,50,19.476876974105835,0.0010774541320273513,0.005182544136377908,0.009744093985837301
PINN,60,23.489474058151245,0.00043228090927430657,0.015051242740454272,0.04929428673353062
PINN,70,27.23727798461914,0.00020627238976669003,0.021713841005211183,0.06619186985013895
PINN,80,31.5869779586792,0.00017083412603242373,0.017296963797349442,0.04606089247920128
PINN,90,35.240633964538574,0.0001716436985806754,0.00965036249336036,0.02462292569365757
PINN,100,38.987870931625366,0.00011436984926764728,0.004505952685550853,0.010058504981568801
NN,10,0.19104599952697754,0.0001484201205194099,0.005561807675322043,0.010811972002286577
NN,20,0.38123321533203125,0.00016469886812666839,0.004654067739341477,0.008650550497966026
NN,30,0.5705578327178955,9.73850746533406e-05,0.003053492341788896,0.006130423139701691
NN,40,0.7605607509613037,7.44449896994583e-05,0.0031811955759035713,0.006987163005388011
NN,50,0.9512829780578613,0.0001257215742057271,0.002901213665266834,0.00737751148262973
NN,60,1.1441969871520996,0.0009680216127714871,0.0020491129512178003,0.011629522416199113
NN,70,1.3329730033874512,7.633753118685694e-05,0.002609270865265979,0.010115975222341098
NN,80,1.522963047027588,7.131270491300348e-05,0.00263256075689039,0.010610962387002557
NN,90,1.7110698223114014,0.0002626508978819547,0.0029916321135553163,0.011929556119683955
NN,100,1.905238151550293,5.459988855399599e-05,0.002513673369929152,0.008228600641064525
