Location,Life expectancy (years),"General medical treatment, 30-59-year-olds (per inhabitant)","Reported household burglaries (per 1,000 inhabitants)","Reported crimes of violence (per 1,000 inhabitants)","Victims of reported criminal offences (per 1,000 inhabitants)","Education qualifying for the labour market, 30-59-year-olds (per cent)","Employment rate, 30-59-year-olds (per cent)","Long-term unemployment, 30-59-year-olds (per 1,000 in the labour force)",Personal disposable income (median DKK/year),Low income in 3 consecutive years. (Excluding students pr. 1.000 inhabitants),"Divorces (per 1,000 married)",Dissolved families with children (per 100 families with children),Square meters dwelling area (per person),Electoral participation at the last general election (per cent),Electoral participation at the last municipal election (per cent),TOTAL HOUSEHOLD WASTE
Sønderborg,79.8,7.6,9.6,3.6,7.2,72.1,77.7,28.2,180332.7,16.8,16.3,3.2,57.1,86.6,74.1,66789
Tønder,79.4,7.5,9.9,3.2,5.9,67.0,77.7,24.7,176644.7,19.2,13.7,3.5,62.7,85.4,73.3,32619
Varde,80.3,6.5,8.5,3.1,5.7,69.6,82.7,15.2,194389.0,12.2,16.5,3.1,58.4,87.7,73.4,42407
Vejen,79.9,6.5,12.3,4.0,5.8,68.6,82.4,20.1,187998.4,11.9,16.2,3.2,59.0,87.4,72.5,26324
Vejle,80.0,6.4,11.6,2.9,10.7,71.2,81.7,23.5,201786.5,13.6,18.6,2.9,54.9,88.2,71.3,94820
Aabenraa,79.4,7.0,10.8,4.8,8.1,69.3,78.0,34.6,182949.8,17.7,17.9,3.9,59.1,85.8,71.8,31552
Favrskov,81.0,6.4,11.8,2.2,3.7,77.1,86.2,20.3,214034.9,7.3,15.6,3.0,55.4,90.0,78.0,25645
Hedensted,80.4,6.0,8.8,1.4,2.9,70.8,85.3,14.7,202277.0,10.3,17.7,3.5,58.5,89.6,76.1,23683
Horsens,79.9,7.0,8.2,3.4,9.7,70.1,80.0,25.7,194359.8,14.6,16.3,3.2,53.1,88.0,70.5,43566
Norddjurs,78.8,6.7,8.0,3.8,6.0,67.4,79.1,28.2,181866.6,17.2,16.8,3.7,59.7,84.9,70.4,18051
Odder,80.8,6.6,7.2,1.9,5.0,77.5,84.0,20.3,209266.2,10.1,16.1,3.2,56.3,90.1,79.4,18351
Randers,79.1,7.3,7.9,5.1,10.6,70.9,79.3,28.0,185546.0,16.9,18.3,3.7,55.0,86.4,72.7,50085
Samsø,,5.6,1.9,2.2,3.2,68.8,79.2,15.8,173653.9,17.6,17.8,1.8,70.8,87.4,82.3,3302
Silkeborg,80.2,6.6,8.1,3.5,7.2,75.9,83.4,24.9,203287.0,12.2,17.2,2.9,54.8,89.4,76.3,62089
